Year;Category;Film;FilmId;Name;Productora;winner;dist_1;dist_2;dist_3;dist_4;dist_5;es_streaming
1997;SHORT FILM (Animated);The Mermaid;tt0130860;Alexander Petrov;Dago Productions, Panorama Studio, School Studio 'Shar';0.0;0;0;0;0;0;0
1997;SHORT FILM (Animated);Redux Riding Hood;tt0141560;Steve Moore, Dan O'Shannon;Toonz Animation, Disney Television Animation, Disneytoon Studios;0.0;0;0;0;0;0;0
1997;SHORT FILM (Live Action);Dance Lexie Dance;tt0140934;Pearse Moore, Tim Loane;Raw Nerve Productions, Northern Lights Short Film Scheme;0.0;0;0;0;0;0;0
1997;SHORT FILM (Live Action);It's Good to Talk;tt0141401;Roger Goldby, Barney Reisz;Feasible Films;0.0;0;0;0;0;0;0
1997;SHORT FILM (Live Action);Sweethearts?;tt0141868;Birger Larsen, Thomas Lydholm;Metronome Productions, Victoria Film;0.0;0;0;0;0;0;0
1997;SHORT FILM (Live Action);Visas and Virtue;tt0141963;Chris Tashima, Chris Donahue;Cedar Grove Productions;1.0;0;0;0;0;0;0
1997;SHORT FILM (Live Action);Wolfgang;tt0141995;Kim Magnusson, Anders Thomas Jensen;M&M Productions, Dansk Novellefilm;0.0;0;0;0;0;0;0
1997;SOUND;Air Force One;tt0118571;Paul Massey, Rick Kline, D. M. Hemphill, Keith A. Wester;Columbia Pictures, Beacon Communications, Beacon Pictures, Radiant Productions, Touchstone Pictures;0.0;columbia pictures;sony pictures;columbia tristar home video;warner home video;columbia tristar home entertainment;0
1997;SOUND;Con Air;tt0118880;Kevin O'Connell, Greg P. Russell, Arthur Rochester;Touchstone Pictures, Jerry Bruckheimer Films, Kouf/Bigelow Productions, Runway Pictures, Hiett Designs of Las Vegas;0.0;walt disney;0;0;0;0;0
1997;SOUND;Contact;tt0118884;Randy Thom, Tom Johnson, Dennis Sands, William B. Kaplan;Warner Bros., South Side Amusement Company;0.0;warner bros;warner bros pictures;warner home video;fox;netflix;1
1997;SOUND;L.A. Confidential;tt0119488;Andy Nelson, Anna Behlmer, Kirk Francis;Regency Enterprises, New Regency Productions, The Wolper Organization, Warner Bros.;0.0;warner bros;warner bros pictures;warner home video;fox;0;0
1997;SOUND;Titanic;tt0120338;Gary Rydstrom, Tom Johnson, Gary Summers, Mark Ulano;Twentieth Century Fox, Paramount Pictures, Lightstorm Entertainment;1.0;twentieth century fox;paramount pictures;fox;warner bros;hbo max;1
1997;SOUND EFFECTS EDITING;Face/Off;tt0119094;Mark P. Stoeckinger, Per Hallberg;Permut Presentations, Touchstone Pictures, Paramount Pictures, Douglas/Reuther Productions, WCG Entertainment Productions;0.0;paramount pictures;0;0;0;0;1
1997;SOUND EFFECTS EDITING;The Fifth Element;tt0119116;Mark Mangini;Gaumont, Pinewood Studios;0.0;columbia pictures;sony pictures;columbia tristar films;columbia tristar home video;fox;0
1997;SOUND EFFECTS EDITING;Titanic;tt0120338;Tom Bellfort, Christopher Boyes;Twentieth Century Fox, Paramount Pictures, Lightstorm Entertainment;1.0;twentieth century fox;paramount pictures;fox;warner bros;hbo max;1
1997;VISUAL EFFECTS;The Lost World: Jurassic Park;tt0119567;Dennis Muren, Stan Winston, Randal M. Dutra, Michael Lantieri;Universal Pictures, Amblin Entertainment, Digital Image Associates;0.0;universal pictures;united international pictures;fox;sony pictures;columbia tristar home entertainment;0
1997;VISUAL EFFECTS;Starship Troopers;tt0120201;Phil Tippett, Scott E. Anderson, Alec Gillis, John Richardson;TriStar Pictures, Touchstone Pictures, Big Bug Pictures, Digital Image Associates;0.0;sony pictures;columbia tristar home entertainment;columbia tristar home video;columbia tristar television;fox;0
1997;VISUAL EFFECTS;Titanic;tt0120338;Robert Legato, Mark Lasoff, Thomas L. Fisher, Michael Kanfer;Twentieth Century Fox, Paramount Pictures, Lightstorm Entertainment;1.0;twentieth century fox;paramount pictures;fox;warner bros;hbo max;1
1997;WRITING (Screenplay Based on Material Previously Produced or Published);Donnie Brasco;tt0119008;Paul Attanasio;Mandalay Entertainment, Baltimore Pictures, Mark Johnson Productions, TriStar Pictures;0.0;sony pictures;columbia tristar films;warner home video;columbia tristar home video;sony pictures home entertainment;0
1997;WRITING (Screenplay Based on Material Previously Produced or Published);L.A. Confidential;tt0119488;Brian Helgeland, Curtis Hanson;Regency Enterprises, New Regency Productions, The Wolper Organization, Warner Bros.;1.0;warner bros;warner bros pictures;warner home video;fox;0;0
1997;WRITING (Screenplay Based on Material Previously Produced or Published);The Sweet Hereafter;tt0120255;Atom Egoyan;Alliance Communications Corporation, Ego Film Arts, T̩l̩film Canada, The Harold Greenberg Fund, The Movie Network (TMN), Canadian Film or Video Production Tax Credit (CPTC);0.0;0;0;0;0;0;0
1997;WRITING (Screenplay Based on Material Previously Produced or Published);Wag the Dog;tt0120885;Hilary Henkin, David Mamet;Baltimore Pictures, New Line Cinema, Punch Productions, Tribeca Productions;0.0;new line cinema;warner bros pictures;fox;warner home video;hbo max;0
1997;WRITING (Screenplay Based on Material Previously Produced or Published);The Wings of the Dove;tt0120520;Hossein Amini;Miramax, Renaissance Dove;0.0;miramax;0;0;0;0;0
1997;WRITING (Screenplay Written Directly for the Screen);As Good as It Gets;tt0119822;"Screenplay by Mark Andrus, James L. Brooks; Story by Mark Andrus";TriStar Pictures, Gracie Films;0.0;columbia tristar film;columbia tristar films;columbia tristar home entertainment;columbia tristar home video;columbia tristar television;0
1997;WRITING (Screenplay Written Directly for the Screen);Boogie Nights;tt0118749;Paul Thomas Anderson;New Line Cinema, Lawrence Gordon Productions, Ghoulardi Film Company;0.0;new line cinema;warner bros;warner home video;hbo max;0;0
1997;WRITING (Screenplay Written Directly for the Screen);Deconstructing Harry;tt0118954;Woody Allen;Sweetland Films, Jean Doumanian Productions;0.0;0;0;0;0;0;0
