Year,Category,Film,Name,NomineeIds,winner,productora,distribuidor
1998,SHORT FILM (Animated),More,"Mark Osborne, Steve Kalafer","nm0651706,nm0435470",0,Bad Clams Productions,broadcastdvd
1998,SHORT FILM (Animated),When Life Departs,"Karsten Kiilerich, Stefan Fjeldmark","nm0478172,nm0280745",0,A. Film,der kurzfilmverleih
1998,SHORT FILM (Live Action),Culture,"Will Speck, Josh Gordon","nm0817447,nm0330347",0,False Alarm Pictures,0
1998,SHORT FILM (Live Action),Election Night (Valgaften),"Kim Magnusson, Anders Thomas Jensen","nm0536385,nm0421314",1,M&M Productions,der kurzfilmverleih
1998,SHORT FILM (Live Action),Holiday Romance,"Alexander Jovy, JJ Keith","nm0003473,nm0445249",0,Jovy Junior Enterprises,atomfilms
1998,SHORT FILM (Live Action),La Carte Postale (The Postcard),Vivian Goffette,nm0324600,0,Centre du CinÃ©ma et de l'Audiovisuel de la FÃ©dÃ©ration Wallonie-Bruxelles,0
1998,SHORT FILM (Live Action),Victor,"Simon Sandquist, Joel Bergvall","nm0762217,nm0075150",0,0,0
1998,SOUND,Armageddon,"Kevin O'Connell, Greg P. Russell, Keith A. Wester","nm0640114,nm0751169,nm0199492",0,Touchstone Pictures,buena vista pictures distribution
1998,SOUND,The Mask of Zorro,"Kevin O'Connell, Greg P. Russell, Pud Cusack","nm0640114,nm0751169,nm0193650",0,TriStar Pictures,columbia tristar egmont film distributors
1998,SOUND,Saving Private Ryan,"Gary Rydstrom, Gary Summers, Andy Nelson, Ronald Judkins","nm0003977,nm0838707,nm0625144,nm0431954",1,Dreamworks Pictures,dreamworks distribution
1998,SOUND,Shakespeare in Love,"Robin O'Donoghue, Dominic Lester, Peter Glossop","nm0640877,nm0504438,nm0323049",0,Universal Pictures,miramax
1998,SOUND,The Thin Red Line,"Andy Nelson, Anna Behlmer, Paul Brincat","nm0625144,nm0066933,nm0109444",0,Fox 2000 Pictures,twentieth century fox
1998,SOUND EFFECTS EDITING,Armageddon,George Watters II,nm0915036,0,Touchstone Pictures,buena vista pictures distribution
1998,SOUND EFFECTS EDITING,The Mask of Zorro,David McMoyler,nm0573393,0,TriStar Pictures,columbia tristar egmont film distributors
1998,SOUND EFFECTS EDITING,Saving Private Ryan,"Gary Rydstrom, Richard Hymns","nm0003977,nm0405232",1,Dreamworks Pictures,dreamworks distribution
1998,VISUAL EFFECTS,Armageddon,"Richard R. Hoover, Pat McClung, John Frazier","nm0393923,nm0565957,nm0292594",0,Touchstone Pictures,buena vista pictures distribution
1998,VISUAL EFFECTS,Mighty Joe Young,"Rick Baker, Hoyt Yeatman, Allen Hall, Jim Mitchell","nm0000711,nm0947087,nm0355292,nm0593437",0,Walt Disney Pictures,buena vista pictures distribution
1998,VISUAL EFFECTS,What Dreams May Come,"Joel Hynek, Nicholas Brooks, Stuart Robertson, Kevin Mack","nm0006699,nm0112172,nm0732035,nm0533034",1,Polygram Filmed Entertainment,polygram filmed entertainment
1998,WRITING (Screenplay Based on Material Previously Produced or Published),Gods and Monsters,Bill Condon,nm0174374,1,Lionsgate,lionsgate
1998,WRITING (Screenplay Based on Material Previously Produced or Published),Out of Sight,Scott Frank,nm0291082,0,Universal Pictures,universal
1998,WRITING (Screenplay Based on Material Previously Produced or Published),Primary Colors,Elaine May,nm0561938,0,Universal Pictures,universal
1998,WRITING (Screenplay Based on Material Previously Produced or Published),A Simple Plan,Scott B. Smith,nm0809895,0,Mutual Film Company,paramount
1998,WRITING (Screenplay Based on Material Previously Produced or Published),The Thin Red Line,Terrence Malick,nm0000517,0,Fox 2000 Pictures,twentieth century fox
1998,WRITING (Screenplay Written Directly for the Screen),Bulworth,"Screenplay by Warren Beatty, Jeremy Pikser; Story by Warren Beatty","nm0000886,nm0683282",0,Twentieth Century Fox,twentieth century fox
1998,WRITING (Screenplay Written Directly for the Screen),Life Is Beautiful,"Vincenzo Cerami, Roberto Benigni","nm0148437,nm0000905",0,Melampo Cinematografica,ascot elite entertainment group
1998,WRITING (Screenplay Written Directly for the Screen),Saving Private Ryan,Robert Rodat,nm0734441,0,Dreamworks Pictures,dreamworks distribution
1998,WRITING (Screenplay Written Directly for the Screen),Shakespeare in Love,"Marc Norman, Tom Stoppard","nm0635565,nm0001779",1,Universal Pictures,miramax
1998,WRITING (Screenplay Written Directly for the Screen),The Truman Show,Andrew Niccol,nm0629272,0,Paramount Pictures,paramount
1998,HONORARY AWARD,,,nm0001415,1,nan,sin información
1998,IRVING G. THALBERG MEMORIAL AWARD,,Norman Jewison,nm0422484,1,nan,sin información
